0,PU,2013,,първи курс,втори курс,трети курс,четвърти курс,пети курс
1,PU,2013,Начална училищна педагогика и чужд език (проф. направление Педагогика),73,83,71,191,0
2,PU,2013,Педагогика (проф. направление Педагогика),34,30,29,24,0
3,PU,2013,Предучилищна и начална училищна педагогика (проф. направление Педагогика),145,112,105,89,1
4,PU,2013,Предучилищна педагогика и чужд език (проф. направление Педагогика),47,38,39,36,0
5,PU,2013,Социална педагогика (проф. направление Педагогика),52,52,46,40,0
6,PU,2013,Специална педагогика (проф. направление Педагогика),53,44,31,28,0
7,PU,2013,Педагогика на обучението по биология и физика (проф. направление Педагогика на обучението по ...),0,5,9,7,0
8,PU,2013,Педагогика на обучението по изобразително изкуство (проф. направление Педагогика на обучението по ...),16,17,12,13,0
9,PU,2013,Педагогика на обучението по музика (проф. направление Педагогика на обучението по ...),19,19,20,12,0
10,PU,2013,Педагогика на обучението по английски и френски език (проф. направление Педагогика на обучението по ...),0,0,1,0,0
11,PU,2013,Български език и Английски език (проф. направление Педагогика на обучението по ...),34,33,15,24,0
12,PU,2013,Английски език и физика (проф. направление Педагогика на обучението по ...),0,1,0,0,0
13,PU,2013,Биология и английски език (проф. направление Педагогика на обучението по ...),27,19,0,0,0
14,PU,2013,Математика и информатика (проф. направление Педагогика на обучението по ...),11,14,20,43,0
15,PU,2013,Български език и история (проф. направление Педагогика на обучението по ...),64,40,56,61,0
16,PU,2013,Педагогика на обучението по физика с информационни технологии (проф. направление Педагогика на обучението по ...),9,0,0,0,0
17,PU,2013,Физика и математика (проф. направление Педагогика на обучението по ...),0,3,10,7,0
18,PU,2013,Химия и физика (проф. направление Педагогика на обучението по ...),1,2,5,3,0
19,PU,2013,Български език и италиански език (проф. направление Педагогика на обучението по ...),21,15,0,0,0
20,PU,2013,Български език и руски език (проф. направление Педагогика на обучението по ...),62,15,17,14,0
21,PU,2013,Български език и испански език (проф. направление Педагогика на обучението по ...),11,7,4,7,0
22,PU,2013,Български език и новогръцки език (проф. направление Педагогика на обучението по ...),17,11,7,23,0
23,PU,2013,Български език и турски език (проф. направление Педагогика на обучението по ...),30,30,25,14,0
24,PU,2013,Български език и китайски език (проф. направление Педагогика на обучението по ...),21,13,8,0,0
25,PU,2013,Биология и химия (проф. направление Педагогика на обучението по ...),30,9,14,19,0
26,PU,2013,Физическо възпитание (проф. направление Педагогика на обучението по ...),99,86,89,89,0
27,PU,2013,Руски език и западен език (проф. направление Педагогика на обучението по ...),0,4,5,7,0
28,PU,2013,Български език и френски език (проф. направление Педагогика на обучението по ...),0,0,0,6,0
29,PU,2013,Български език и немски език (проф. направление Педагогика на обучението по ...),0,0,1,0,0
30,PU,2013,Педагогика на обучението по бит и технологии (проф. направление Педагогика на обучението по ...),24,30,11,19,0
31,PU,2013,Английска филология (проф. направление Филология),99,90,66,66,0
32,PU,2013,Българска филология (проф. направление Филология),177,144,139,159,0
33,PU,2013,Приложна лингвистика (английски и немски език) (проф. направление Филология),10,12,8,5,0
34,PU,2013,Приложна лингвистика (английски и руски език) (проф. направление Филология),0,0,3,4,0
35,PU,2013,Приложна лингвистика (немски и турски език) (проф. направление Филология),0,0,1,0,0
36,PU,2013,Руска филология (проф. направление Филология),46,27,28,27,0
37,PU,2013,Френска филология (проф. направление Филология),1,10,0,0,0
38,PU,2013,Приложна лингвистика (английски и испански език) (проф. направление Филология),29,19,21,15,0
39,PU,2013,Приложна лингвистика (английски и новогръцки език) (проф. направление Филология),0,1,3,0,0
40,PU,2013,Приложна лингвистика (английски и турски език) (проф. направление Филология),0,0,2,4,0
41,PU,2013,Приложна лингвистика (немски и испански език) (проф. направление Филология),7,9,3,0,0
42,PU,2013,Приложна лингвистика (немски и новогръцки език) (проф. направление Филология),0,0,1,0,0
43,PU,2013,Приложна лингвистика (френски и испански език) (проф. направление Филология),9,3,5,4,0
44,PU,2013,Приложна лингвистика (френски и новогръцки език) (проф. направление Филология),0,0,0,1,0
45,PU,2013,Лингвистика с информационни технологии (английски и немски език) (проф. направление Филология),27,27,14,9,0
46,PU,2013,Лингвистика с информационни технологии (английски и френски език) (проф. направление Филология),29,16,13,20,0
